p	voiceless bilabial stop fricative
b	voiced bilabial stop fricative
f	voiceless labiodental fricative
v	voiced labiodental fricative
m	bilabial nasal
w	voiced bilabial-velar approximant
8	voiceless voiced dental fricative
4	dental nasal
t	voiceless alveolar stop
d	voiced alveolar stop
s	voiceless alveolar fricative
z	voiced alveolar fricative
c	voiceless voiced alveolar affricate
n	alveolar nasal
r	voiced apico-alveolar flap trill tap postalveolar retroflex
L	voiced alveolar lateral approximate
S	voiceless postalveolar fricative
Z	voiced postalveolar fricative
C	voiceless palato-alveolar affricate
j	voiced palato-alveolar affricate
T	voiceless  voiced palatal stop
5	palatal nasal 
y	palatal approximant
g	voiced velar stop
x	voiceless  voiced velar fricative
N	velar nasal
q	voiceless uvular stop
G	voiced uvular stop
X	voiceless voiced uvular fricative voiceless voiced pharyngeal fricative
h	voiceless voiced glottal fricative
7	voiceless glottal stop
L	voiceless voiced alveolar approximant
!	click
i	high front vowel rounded unrounded
e	mid front vowel rounded unrounded
E	low front vowel rounded unrounded
3	high mid central vowel rounded unrounded
a	low central vowel unrounded
u	high back vowel rounded unrounded
o	mid low back vowel rounded unrounded
